dbGap Variable	dbGap Table	dbGap Description	UChicago Variable	UChicago Table	Type	Enumerations
talkto1	pht001116.v10, pht001111.v4	Someone available to listen to you	talkto1	psychosocial_questionnaire	enum	NONE OF THE TIME|A LITTLE OF THE TIME|SOME OF THE TIME|MOST OF THE TIME|ALL OF THE TIME
advice1	pht001116.v10, pht001111.v4	Someone available to give you advice	advice1	psychosocial_questionnaire	enum	NONE OF THE TIME|A LITTLE OF THE TIME|SOME OF THE TIME|MOST OF THE TIME|ALL OF THE TIME
affectn1	pht001116.v10, pht001111.v4	Someone available to show you love and affection	affectn1	psychosocial_questionnaire	enum	NONE OF THE TIME|A LITTLE OF THE TIME|SOME OF THE TIME|MOST OF THE TIME|ALL OF THE TIME
hlpchr1	pht001116.v10, pht001111.v4	Someone available to help with daily chores	hlpchr1	psychosocial_questionnaire	enum	NONE OF THE TIME|A LITTLE OF THE TIME|SOME OF THE TIME|MOST OF THE TIME|ALL OF THE TIME
emospt1	pht001116.v10, pht001111.v4	Someone available to provide emotional support	emospt1	psychosocial_questionnaire	enum	NONE OF THE TIME|A LITTLE OF THE TIME|SOME OF THE TIME|MOST OF THE TIME|ALL OF THE TIME
confide1	pht001116.v10, pht001111.v4	Sufficient contact with someone you can confide in	confide1	psychosocial_questionnaire	enum	NONE OF THE TIME|A LITTLE OF THE TIME|SOME OF THE TIME|MOST OF THE TIME|ALL OF THE TIME
uf1fire1	pht001116.v10, pht001111.v4	Unfairly fired or denied a promotion	uf1fire1	psychosocial_questionnaire	boolean	
uf2fire1	pht001116.v10, pht001111.v4	Unfairly fired or denied a promotion, reason	uf2fire1	psychosocial_questionnaire	enum	RACE OR ETHNICITY|GENDER|AGE|RELIGION|PHYSICAL APPEARANCE|SEXUAL ORIENTATION|INCOME/SOCIAL CLASS|OTHER
uf3fire1	pht001116.v10, pht001111.v4	Unfairly fired or denied a promotion, during last 12 months	uf3fire1	psychosocial_questionnaire	boolean	
uf1hire1	pht001116.v10, pht001111.v4	Unfairly not hired for a job	uf1hire1	psychosocial_questionnaire	boolean	
uf2hire1	pht001116.v10, pht001111.v4	Unfairly not hired, reason	uf2hire1	psychosocial_questionnaire	enum	RACE OR ETHNICITY|GENDER|AGE|RELIGION|PHYSICAL APPEARANCE|SEXUAL ORIENTATION|INCOME/SOCIAL CLASS|OTHER
uf3hire1	pht001116.v10, pht001111.v4	Unfairly not hired, during last 12 months	uf3hire1	psychosocial_questionnaire	boolean	
uf1stop1	pht001116.v10, pht001111.v4	Treated unfairly by the police	uf1stop1	psychosocial_questionnaire	boolean	
uf2stop1	pht001116.v10, pht001111.v4	Treated unfairly by the police, reason	uf2stop1	psychosocial_questionnaire	enum	RACE OR ETHNICITY|GENDER|AGE|RELIGION|PHYSICAL APPEARANCE|SEXUAL ORIENTATION|INCOME/SOCIAL CLASS|OTHER
uf3stop1	pht001116.v10, pht001111.v4	Treated unfairly by the police, during last 12 months	uf3stop1	psychosocial_questionnaire	boolean	
uf1educ1	pht001116.v10, pht001111.v4	Unfairly discouraged by a teacher from continuing education	uf1educ1	psychosocial_questionnaire	boolean	
uf2educ1	pht001116.v10, pht001111.v4	Unfairly discouraged by a teacher, reason	uf2educ1	psychosocial_questionnaire	enum	RACE OR ETHNICITY|GENDER|AGE|RELIGION|PHYSICAL APPEARANCE|SEXUAL ORIENTATION|INCOME/SOCIAL CLASS|OTHER
uf3educ1	pht001116.v10, pht001111.v4	Unfairly discouraged by a teacher, during last 12 months	uf3educ1	psychosocial_questionnaire	boolean	
uf1move1	pht001116.v10, pht001111.v4	Unfairly prevented from moving into a neighborhood	uf1move1	psychosocial_questionnaire	boolean	
uf2move1	pht001116.v10, pht001111.v4	Unfairly prevented from moving, reason	uf2move1	psychosocial_questionnaire	enum	RACE OR ETHNICITY|GENDER|AGE|RELIGION|PHYSICAL APPEARANCE|SEXUAL ORIENTATION|INCOME/SOCIAL CLASS|OTHER
uf3move1	pht001116.v10, pht001111.v4	Unfairly prevented from moving, during last 12 months	uf3move1	psychosocial_questionnaire	boolean	
uf1nghb1	pht001116.v10, pht001111.v4	Neighbors made life difficult for you	uf1nghb1	psychosocial_questionnaire	boolean	
uf2nghb1	pht001116.v10, pht001111.v4	Neighbors made life difficult, reason	uf2nghb1	psychosocial_questionnaire	enum	RACE OR ETHNICITY|GENDER|AGE|RELIGION|PHYSICAL APPEARANCE|SEXUAL ORIENTATION|INCOME/SOCIAL CLASS|OTHER
curtesy1	pht001116.v10, pht001111.v4	Treated with less courtesy than others	curtesy1	psychosocial_questionnaire	enum	ALMOST EVERY DAY|AT LEAST ONCE A WEEK|A FEW TIMES A MONTH|A FEW TIMES A YEAR|LESS THAN ONCE A YEAR|NEVER
respect1	pht001116.v10, pht001111.v4	Treated with less respect than others	respect1	psychosocial_questionnaire	enum	ALMOST EVERY DAY|AT LEAST ONCE A WEEK|A FEW TIMES A MONTH|A FEW TIMES A YEAR|LESS THAN ONCE A YEAR|NEVER
service1	pht001116.v10, pht001111.v4	Receive poorer service than others	service1	psychosocial_questionnaire	enum	ALMOST EVERY DAY|AT LEAST ONCE A WEEK|A FEW TIMES A MONTH|A FEW TIMES A YEAR|LESS THAN ONCE A YEAR|NEVER
smart1	pht001116.v10, pht001111.v4	People act as if you are not smart	smart1	psychosocial_questionnaire	enum	ALMOST EVERY DAY|AT LEAST ONCE A WEEK|A FEW TIMES A MONTH|A FEW TIMES A YEAR|LESS THAN ONCE A YEAR|NEVER
afraid1	pht001116.v10, pht001111.v4	People act as if they are afraid of you	afraid1	psychosocial_questionnaire	enum	ALMOST EVERY DAY|AT LEAST ONCE A WEEK|A FEW TIMES A MONTH|A FEW TIMES A YEAR|LESS THAN ONCE A YEAR|NEVER
dishon1	pht001116.v10, pht001111.v4	People act as if you are dishonest	dishon1	psychosocial_questionnaire	enum	ALMOST EVERY DAY|AT LEAST ONCE A WEEK|A FEW TIMES A MONTH|A FEW TIMES A YEAR|LESS THAN ONCE A YEAR|NEVER
better1	pht001116.v10, pht001111.v4	People act as if they are better than you	better1	psychosocial_questionnaire	enum	ALMOST EVERY DAY|AT LEAST ONCE A WEEK|A FEW TIMES A MONTH|A FEW TIMES A YEAR|LESS THAN ONCE A YEAR|NEVER
insult1	pht001116.v10, pht001111.v4	You are called names or insulted	insult1	psychosocial_questionnaire	enum	ALMOST EVERY DAY|AT LEAST ONCE A WEEK|A FEW TIMES A MONTH|A FEW TIMES A YEAR|LESS THAN ONCE A YEAR|NEVER
threat1	pht001116.v10, pht001111.v4	You are threatened or harassed	threat1	psychosocial_questionnaire	enum	ALMOST EVERY DAY|AT LEAST ONCE A WEEK|A FEW TIMES A MONTH|A FEW TIMES A YEAR|LESS THAN ONCE A YEAR|NEVER
uf1resp1	pht001116.v10, pht001111.v4	When treated unfairly, what do you do about it	uf1resp1	psychosocial_questionnaire	enum	ALMOST EVERY DAY|AT LEAST ONCE A WEEK|A FEW TIMES A MONTH|A FEW TIMES A YEAR|LESS THAN ONCE A YEAR|NEVER
uf2resp1	pht001116.v10, pht001111.v4	When treated unfairly, do you tell others	uf2resp1	psychosocial_questionnaire	enum	TALK TO OTHERS ABOUT IT|KEEP IT TO YOURSELF
hlfadm1	pht001116.v10, pht001111.v4	Questionnaire administrator - health & life	hlfadm1	psychosocial_questionnaire	enum	SELF-ADMINISTERED|INTERVIEWER-ADMINISTERED
uf3nghb1	pht001116.v10, pht001111.v4	Neighbors made life difficult, during last 12 months	uf3nghb1	psychosocial_questionnaire	boolean	
splang1c	pht001116.v10, pht001111.v4	Spielberger trait anger scale	splang1c	psychosocial_questionnaire	number	
chrbur1c	pht001116.v10, pht001111.v4	Chronic burden	chrbur1c	psychosocial_questionnaire	number	
chrbu61c	pht001116.v10, pht001111.v4	Chronic burden, >6 months	chrbu61c	psychosocial_questionnaire	number	
cesd1c	pht001116.v10, pht001111.v4	Center for epidemiologic studies - depression scale	cesd1c	psychosocial_questionnaire	number	
emot1c	pht001116.v10, pht001111.v4	Emotional social support index	emot1c	psychosocial_questionnaire	number	
discrl1c	pht001116.v10, pht001111.v4	Perceived discrimination, lifetime	discrl1c	psychosocial_questionnaire	number	
discry1c	pht001116.v10, pht001111.v4	Perceived discrimination, past year	discry1c	psychosocial_questionnaire	number	
hassl1c	pht001116.v10, pht001111.v4	Everyday hassles	hassl1c	psychosocial_questionnaire	number	
splanx1c	pht001116.v10, pht001111.v4	Spielberger trait anxiety scale	splanx1c	psychosocial_questionnaire	number	
maxcom1c	pht001116.v10	Common carotid intimal-medial thickness (mm)	maxcom1c	carotid_ultrasound_test	number	
maxint1c	pht001116.v10	Internal carotid intimal-medial thickness (mm)	maxint1c	carotid_ultrasound_test	number	
zmximt1c	pht001116.v10	Z score maximum imt	zmximt1c	carotid_ultrasound_test	number	
rsurf1	pht001116.v10	Right surface	rsurf1	carotid_ultrasound_test	enum	SMOOTH|MILDLY IRREGULAR|MARKEDLY IRREGULAR|ULCERATED|NO LESION|CAN'T TELL
rmorph1	pht001116.v10	Right morphology	rmorph1	carotid_ultrasound_test	enum	NO LESION|HOMOGENEOUS|HETEROGENEOUS|CANNOT TELL
rsten1	pht001116.v10	Right stenosis	rsten1	carotid_ultrasound_test	enum	1 - 24%|25 - 49%|50 - 74%|75 - 99%|100%|NO LESION|BAD IMAGE/NORMAL DOPPLER|CAN'T TELL
rloc1	pht001116.v10	Right location	rloc1	carotid_ultrasound_test	enum	NO LESION|HOMOGENEOUS|HETEROGENEOUS|CANNOT TELL
rdens1	pht001116.v10	Right density	rdens1	carotid_ultrasound_test	enum	NO LESION|HOMOGENEOUS|HETEROGENEOUS|HYPERDENSE|CALCIFIED|CANNOT TELL
lsurf1	pht001116.v10	Left surface	lsurf1	carotid_ultrasound_test	enum	SMOOTH|MILDLY IRREGULAR|MARKEDLY IRREGULAR|ULCERATED|NO LESION|CAN'T TELL
lmorph1	pht001116.v10	Left morphology	lmorph1	carotid_ultrasound_test	enum	NO LESION|HOMOGENEOUS|HETEROGENEOUS|CANNOT TELL
lsten1	pht001116.v10	Left stenosis	lsten1	carotid_ultrasound_test	enum	1 - 24%|25 - 49%|50 - 74%|75 - 99%|100%|NO LESION|BAD IMAGE/NORMAL DOPPLER|CAN'T TELL
lloc1	pht001116.v10	Left location	lloc1	carotid_ultrasound_test	enum	NO LESION|HOMOGENEOUS|HETEROGENEOUS|CANNOT TELL
ldens1	pht001116.v10	Left density	ldens1	carotid_ultrasound_test	enum	NO LESION|HOMOGENEOUS|HETEROGENEOUS|ULCERATED|CALCIFIED|NO LESION|CAN'T TELL
maxstn1c	pht001116.v10	Maximum carotid stenosis, graded	maxstn1c	carotid_ultrasound_test	enum	NO LESION|1 - 24%|25 - 49%|50 - 74%|75 - 99%|100%
maxsur1c	pht001116.v10	Maximum surface	maxsur1c	carotid_ultrasound_test	enum	SMOOTH|MILDLY IRREGULAR|MARKEDLY IRREGULAR|ULCERATED|NO LESION|CAN'T TELL
maxmor1c	pht001116.v10	Maximum morphology	maxmor1c	carotid_ultrasound_test	enum	NO LESION|HOMOGENEOUS|HETEROGENEOUS
maxden1c	pht001116.v10	Maximum density	maxden1c	carotid_ultrasound_test	enum	NO LESION|HOMOGENEOUS|HETEROGENEOUS|HYPERDENSE|CALCIFIED
tapeid1	pht001116.v10	Videotape on which imt is recorded	tapeid1	carotid_ultrasound_test	number	
rdopp1	pht001116.v10	Doppler measurement right side (cm/s)	rdopp1	carotid_ultrasound_test	number	
rcvwmn1	pht001116.v10	Right common carotid vessel width mean (mm)	rcvwmn1	carotid_ultrasound_test	number	
rcvwsd1	pht001116.v10	Right common carotid vessel width std dev (mm)	rcvwsd1	carotid_ultrasound_test	number	
rclumax1	pht001116.v10	Right common carotid lumen max (mm)	rclumax1	carotid_ultrasound_test	number	
rclumn1	pht001116.v10	Right common carotid lumen mean (mm)	rclumn1	carotid_ultrasound_test	number	
rclusd1	pht001116.v10	Right common carotid lumen std dev (mm)	rclusd1	carotid_ultrasound_test	number	
rascale1	pht001116.v10	Right anterior oblique image scale - ica (pixels/cm)	rascale1	carotid_ultrasound_test	number	
raqs1	pht001116.v10	Right anterior oblique image quality score	raqs1	carotid_ultrasound_test	number	
ralines1	pht001116.v10	Right anterior oblique number of lines drawn	ralines1	carotid_ultrasound_test	number	
rafwmax1	pht001116.v10	Right anterior oblique far wall max (mm)	rafwmax1	carotid_ultrasound_test	number	
rafwmin1	pht001116.v10	Right anterior oblique far wall min (mm)	rafwmin1	carotid_ultrasound_test	number	
rafwmn1	pht001116.v10	Right anterior oblique far wall mean (mm)	rafwmn1	carotid_ultrasound_test	number	
rafwsd1	pht001116.v10	Right anterior oblique far wall std dev (mm)	rafwsd1	carotid_ultrasound_test	number	
ranwmax1	pht001116.v10	Right anterior oblique near wall max (mm)	ranwmax1	carotid_ultrasound_test	number	
ranwmin1	pht001116.v10	Right anterior oblique near wall min (mm)	ranwmin1	carotid_ultrasound_test	number	
ranwmn1	pht001116.v10	Right anterior oblique near wall mean (mm)	ranwmn1	carotid_ultrasound_test	number	
ranwsd1	pht001116.v10	Right anterior oblique near wall std dev (mm)	ranwsd1	carotid_ultrasound_test	number	
ravwmax1	pht001116.v10	Right anterior oblique vessel width max (mm)	ravwmax1	carotid_ultrasound_test	number	
ravwmin1	pht001116.v10	Right anterior oblique vessel width min (mm)	ravwmin1	carotid_ultrasound_test	number	
ravwmn1	pht001116.v10	Right anterior oblique vessel width mean (mm)	ravwmn1	carotid_ultrasound_test	number	
ravwsd1	pht001116.v10	Right anterior oblique vessel width std dev (mm)	ravwsd1	carotid_ultrasound_test	number	
ralumax1	pht001116.v10	Right anterior oblique lumen max (mm)	ralumax1	carotid_ultrasound_test	number	
ralumin1	pht001116.v10	Right anterior oblique lumen min (mm)	ralumin1	carotid_ultrasound_test	number	
ralumn1	pht001116.v10	Right anterior oblique lumen mean (mm)	ralumn1	carotid_ultrasound_test	number	
ralusd1	pht001116.v10	Right anterior oblique lumen std dev (mm)	ralusd1	carotid_ultrasound_test	number	
rlscale1	pht001116.v10	Right lateral oblique image scale - ica (pixels/cm)	rlscale1	carotid_ultrasound_test	number	
rlqs1	pht001116.v10	Right lateral oblique image quality score	rlqs1	carotid_ultrasound_test	number	
rllines1	pht001116.v10	Right lateral oblique number of lines drawn	rllines1	carotid_ultrasound_test	number	
rlfwmax1	pht001116.v10	Right lateral oblique far wall max (mm)	rlfwmax1	carotid_ultrasound_test	number	
rlfwmin1	pht001116.v10	Right lateral oblique far wall min (mm)	rlfwmin1	carotid_ultrasound_test	number	
rlfwmn1	pht001116.v10	Right lateral oblique far wall mean (mm)	rlfwmn1	carotid_ultrasound_test	number	
rlfwsd1	pht001116.v10	Right lateral oblique far wall std dev (mm)	rlfwsd1	carotid_ultrasound_test	number	
rlnwmax1	pht001116.v10	Right lateral oblique near wall max (mm)	rlnwmax1	carotid_ultrasound_test	number	
rlnwmin1	pht001116.v10	Right lateral oblique near wall min (mm)	rlnwmin1	carotid_ultrasound_test	number	
rlnwmn1	pht001116.v10	Right lateral oblique near wall mean (mm)	rlnwmn1	carotid_ultrasound_test	number	
rlnwsd1	pht001116.v10	Right lateral oblique near wall std dev (mm)	rlnwsd1	carotid_ultrasound_test	number	
rlvwmax1	pht001116.v10	Right lateral oblique vessel width max (mm)	rlvwmax1	carotid_ultrasound_test	number	
rlvwmin1	pht001116.v10	Right lateral oblique vessel width min (mm)	rlvwmin1	carotid_ultrasound_test	number	
rlvwmn1	pht001116.v10	Right lateral oblique vessel width mean (mm)	rlvwmn1	carotid_ultrasound_test	number	
rlvwsd1	pht001116.v10	Right lateral oblique vessel width std dev (mm)	rlvwsd1	carotid_ultrasound_test	number	
rllumax1	pht001116.v10	Right lateral oblique lumen max (mm)	rllumax1	carotid_ultrasound_test	number	
rllumin1	pht001116.v10	Right lateral oblique lumen min (mm)	rllumin1	carotid_ultrasound_test	number	
rllumn1	pht001116.v10	Right lateral oblique lumen mean (mm)	rllumn1	carotid_ultrasound_test	number	
rllusd1	pht001116.v10	Right lateral oblique lumen std dev (mm)	rllusd1	carotid_ultrasound_test	number	
rpscale1	pht001116.v10	Right posterior oblique image scale - ica (pixels/cm)	rpscale1	carotid_ultrasound_test	number	
rpqs1	pht001116.v10	Right posterior oblique image quality score	rpqs1	carotid_ultrasound_test	number	
rplines1	pht001116.v10	Right posterior oblique number of lines drawn	rplines1	carotid_ultrasound_test	number	
rpfwmax1	pht001116.v10	Right posterior oblique far wall max (mm)	rpfwmax1	carotid_ultrasound_test	number	
rpfwmin1	pht001116.v10	Right posterior oblique far wall min (mm)	rpfwmin1	carotid_ultrasound_test	number	
rpfwmn1	pht001116.v10	Right posterior oblique far wall mean (mm)	rpfwmn1	carotid_ultrasound_test	number	
rpfwsd1	pht001116.v10	Right posterior oblique far wall std dev (mm)	rpfwsd1	carotid_ultrasound_test	number	
rpnwmax1	pht001116.v10	Right posterior oblique near wall max (mm)	rpnwmax1	carotid_ultrasound_test	number	
rpnwmin1	pht001116.v10	Right posterior oblique near wall min (mm)	rpnwmin1	carotid_ultrasound_test	number	
rpnwmn1	pht001116.v10	Right posterior oblique near wall mean (mm)	rpnwmn1	carotid_ultrasound_test	number	
rpnwsd1	pht001116.v10	Right posterior oblique near wall std dev (mm)	rpnwsd1	carotid_ultrasound_test	number	
rpvwmax1	pht001116.v10	Right posterior oblique vessel width max (mm)	rpvwmax1	carotid_ultrasound_test	number	
rpvwmin1	pht001116.v10	Right posterior oblique vessel width min (mm)	rpvwmin1	carotid_ultrasound_test	number	
rpvwmn1	pht001116.v10	Right posterior oblique vessel width mean (mm)	rpvwmn1	carotid_ultrasound_test	number	
rpvwsd1	pht001116.v10	Right posterior oblique vessel width std dev (mm)	rpvwsd1	carotid_ultrasound_test	number	
rplumax1	pht001116.v10	Right posterior oblique lumen max (mm)	rplumax1	carotid_ultrasound_test	number	
rplumin1	pht001116.v10	Right posterior oblique lumen min (mm)	rplumin1	carotid_ultrasound_test	number	
rplumn1	pht001116.v10	Right posterior oblique lumen mean (mm)	rplumn1	carotid_ultrasound_test	number	
rplusd1	pht001116.v10	Right posterior oblique lumen std dev (mm)	rplusd1	carotid_ultrasound_test	number	
lcscale1	pht001116.v10	Left common carotid image scale - cca (pixels/cm)	lcscale1	carotid_ultrasound_test	number	
lcqs1	pht001116.v10	Left common carotid image quality score	lcqs1	carotid_ultrasound_test	number	
lclines1	pht001116.v10	Left common carotid number of lines drawn	lclines1	carotid_ultrasound_test	number	
lcfwmax1	pht001116.v10	Left common carotid far wall max (mm)	lcfwmax1	carotid_ultrasound_test	number	
lcfwmin1	pht001116.v10	Left common carotid far wall min (mm)	lcfwmin1	carotid_ultrasound_test	number	
lcfwmn1	pht001116.v10	Left common carotid far wall mean (mm)	lcfwmn1	carotid_ultrasound_test	number	
lcfwsd1	pht001116.v10	Left common carotid far wall std dev (mm)	lcfwsd1	carotid_ultrasound_test	number	
lcnwmax1	pht001116.v10	Left common carotid near wall max (mm)	lcnwmax1	carotid_ultrasound_test	number	
lcnwmin1	pht001116.v10	Left common carotid near wall min (mm)	lcnwmin1	carotid_ultrasound_test	number	
lcnwmn1	pht001116.v10	Left common carotid near wall mean (mm)	lcnwmn1	carotid_ultrasound_test	number	
lcnwsd1	pht001116.v10	Left common carotid near wall std dev (mm)	lcnwsd1	carotid_ultrasound_test	number	
lcvwmax1	pht001116.v10	Left common carotid vessel width max (mm)	lcvwmax1	carotid_ultrasound_test	number	
lcvwmin1	pht001116.v10	Left common carotid vessel width min (mm)	lcvwmin1	carotid_ultrasound_test	number	
lcvwmn1	pht001116.v10	Left common carotid vessel width mean (mm)	lcvwmn1	carotid_ultrasound_test	number	
lcvwsd1	pht001116.v10	Left common carotid vessel width std dev (mm)	lcvwsd1	carotid_ultrasound_test	number	
lclumax1	pht001116.v10	Left common carotid lumen max (mm)	lclumax1	carotid_ultrasound_test	number	
lclumin1	pht001116.v10	Left common carotid lumen min (mm)	lclumin1	carotid_ultrasound_test	number	
lclumn1	pht001116.v10	Left common carotid lumen mean (mm)	lclumn1	carotid_ultrasound_test	number	
lclusd1	pht001116.v10	Left common carotid lumen std dev (mm)	lclusd1	carotid_ultrasound_test	number	
lascale1	pht001116.v10	Left anterior oblique image scale - ica (pixels/cm)	lascale1	carotid_ultrasound_test	number	
laqs1	pht001116.v10	Left anterior oblique image quality score	laqs1	carotid_ultrasound_test	number	
lalines1	pht001116.v10	Left anterior oblique number of lines drawn	lalines1	carotid_ultrasound_test	number	
lafwmax1	pht001116.v10	Left anterior oblique far wall max (mm)	lafwmax1	carotid_ultrasound_test	number	
lafwmin1	pht001116.v10	Left anterior oblique far wall min (mm)	lafwmin1	carotid_ultrasound_test	number	
lafwmn1	pht001116.v10	Left anterior oblique far wall mean (mm)	lafwmn1	carotid_ultrasound_test	number	
lafwsd1	pht001116.v10	Left anterior oblique far wall std dev (mm)	lafwsd1	carotid_ultrasound_test	number	
lanwmax1	pht001116.v10	Left anterior oblique near wall max (mm)	lanwmax1	carotid_ultrasound_test	number	
lanwmin1	pht001116.v10	Left anterior oblique near wall min (mm)	lanwmin1	carotid_ultrasound_test	number	
lanwmn1	pht001116.v10	Left anterior oblique near wall mean (mm)	lanwmn1	carotid_ultrasound_test	number	
lanwsd1	pht001116.v10	Left anterior oblique near wall std dev (mm)	lanwsd1	carotid_ultrasound_test	number	
lavwmax1	pht001116.v10	Left anterior oblique vessel width max (mm)	lavwmax1	carotid_ultrasound_test	number	
lavwmin1	pht001116.v10	Left anterior oblique vessel width min (mm)	lavwmin1	carotid_ultrasound_test	number	
lavwmn1	pht001116.v10	Left anterior oblique vessel width mean (mm)	lavwmn1	carotid_ultrasound_test	number	
lavwsd1	pht001116.v10	Left anterior oblique vessel width std dev (mm)	lavwsd1	carotid_ultrasound_test	number	
lalumax1	pht001116.v10	Left anterior oblique lumen max (mm)	lalumax1	carotid_ultrasound_test	number	
lalumin1	pht001116.v10	Left anterior oblique lumen min (mm)	lalumin1	carotid_ultrasound_test	number	
lalumn1	pht001116.v10	Left anterior oblique lumen mean (mm)	lalumn1	carotid_ultrasound_test	number	
lalusd1	pht001116.v10	Left anterior oblique lumen std dev (mm)	lalusd1	carotid_ultrasound_test	number	
llscale1	pht001116.v10	Left lateral oblique image scale - ica (pixels/cm)	llscale1	carotid_ultrasound_test	number	
llqs1	pht001116.v10	Left lateral oblique image quality score	llqs1	carotid_ultrasound_test	number	
lllines1	pht001116.v10	Left lateral oblique number of lines drawn	lllines1	carotid_ultrasound_test	number	
llfwmax1	pht001116.v10	Left lateral oblique far wall max (mm)	llfwmax1	carotid_ultrasound_test	number	
llfwmin1	pht001116.v10	Left lateral oblique far wall min (mm)	llfwmin1	carotid_ultrasound_test	number	
llfwmn1	pht001116.v10	Left lateral oblique far wall mean (mm)	llfwmn1	carotid_ultrasound_test	number	
llfwsd1	pht001116.v10	Left lateral oblique far wall std dev (mm)	llfwsd1	carotid_ultrasound_test	number	
llnwmax1	pht001116.v10	Left lateral oblique near wall max (mm)	llnwmax1	carotid_ultrasound_test	number	
llnwmin1	pht001116.v10	Left lateral oblique near wall min (mm)	llnwmin1	carotid_ultrasound_test	number	
llnwmn1	pht001116.v10	Left lateral oblique near wall mean (mm)	llnwmn1	carotid_ultrasound_test	number	
llnwsd1	pht001116.v10	Left lateral oblique near wall std dev (mm)	llnwsd1	carotid_ultrasound_test	number	
llvwmax1	pht001116.v10	Left lateral oblique vessel width max (mm)	llvwmax1	carotid_ultrasound_test	number	
llvwmin1	pht001116.v10	Left lateral oblique vessel width min (mm)	llvwmin1	carotid_ultrasound_test	number	
llvwmn1	pht001116.v10	Left lateral oblique vessel width mean (mm)	llvwmn1	carotid_ultrasound_test	number	
llvwsd1	pht001116.v10	Left lateral oblique vessel width std dev (mm)	llvwsd1	carotid_ultrasound_test	number	
lllumax1	pht001116.v10	Left lateral oblique lumen max (mm)	lllumax1	carotid_ultrasound_test	number	
lllumin1	pht001116.v10	Left lateral oblique lumen min (mm)	lllumin1	carotid_ultrasound_test	number	
lllumn1	pht001116.v10	Left lateral oblique lumen mean (mm)	lllumn1	carotid_ultrasound_test	number	
lllusd1	pht001116.v10	Left lateral oblique lumen std dev (mm)	lllusd1	carotid_ultrasound_test	number	
lpscale1	pht001116.v10	Left posterior oblique image scale - ica (pixels/cm)	lpscale1	carotid_ultrasound_test	number	
lpqs1	pht001116.v10	Left posterior oblique image quality score	lpqs1	carotid_ultrasound_test	number	
lplines1	pht001116.v10	Left posterior oblique number of lines drawn	lplines1	carotid_ultrasound_test	number	
lpfwmax1	pht001116.v10	Left posterior oblique far wall max (mm)	lpfwmax1	carotid_ultrasound_test	number	
lpfwmin1	pht001116.v10	Left posterior oblique far wall min (mm)	lpfwmin1	carotid_ultrasound_test	number	
lpfwmn1	pht001116.v10	Left posterior oblique far wall mean (mm)	lpfwmn1	carotid_ultrasound_test	number	
lpfwsd1	pht001116.v10	Left posterior oblique far wall std dev (mm)	lpfwsd1	carotid_ultrasound_test	number	
lpnwmax1	pht001116.v10	Left posterior oblique near wall max (mm)	lpnwmax1	carotid_ultrasound_test	number	
lpnwmin1	pht001116.v10	Left posterior oblique near wall min (mm)	lpnwmin1	carotid_ultrasound_test	number	
lpnwmn1	pht001116.v10	Left posterior oblique near wall mean (mm)	lpnwmn1	carotid_ultrasound_test	number	
lpnwsd1	pht001116.v10	Left posterior oblique near wall std dev (mm)	lpnwsd1	carotid_ultrasound_test	number	
lpvwmax1	pht001116.v10	Left posterior oblique vessel width max (mm)	lpvwmax1	carotid_ultrasound_test	number	
lpvwmin1	pht001116.v10	Left posterior oblique vessel width min (mm)	lpvwmin1	carotid_ultrasound_test	number	
lpvwmn1	pht001116.v10	Left posterior oblique vessel width mean (mm)	lpvwmn1	carotid_ultrasound_test	number	
lpvwsd1	pht001116.v10	Left posterior oblique vessel width std dev (mm)	lpvwsd1	carotid_ultrasound_test	number	
lplumax1	pht001116.v10	Left posterior oblique lumen max (mm)	lplumax1	carotid_ultrasound_test	number	
lplumin1	pht001116.v10	Left posterior oblique lumen min (mm)	lplumin1	carotid_ultrasound_test	number	
lplumn1	pht001116.v10	Left posterior oblique lumen mean (mm)	lplumn1	carotid_ultrasound_test	number	
lplusd1	pht001116.v10	Left posterior oblique lumen std dev (mm)	lplusd1	carotid_ultrasound_test	number	
rclumin1	pht001116.v10	Right common carotid lumen min (mm)	rclumin1	carotid_ultrasound_test	number	
ldopp1	pht001116.v10	Doppler measurement left side (cm/s)	ldopp1	carotid_ultrasound_test	number	
alert1	pht001116.v10	Alert: doppler > 250 (cm/s)	alert1	carotid_ultrasound_test	enum	ALERT|NO ALERT
rcscale1	pht001116.v10	Right common carotid image scale - cca (pixels/cm)	rcscale1	carotid_ultrasound_test	number	
rcqs1	pht001116.v10	Right common carotid image quality score	rcqs1	carotid_ultrasound_test	number	
rclines1	pht001116.v10	Right common carotid number of lines drawn	rclines1	carotid_ultrasound_test	number	
rcfwmax1	pht001116.v10	Right common carotid far wall max (mm)	rcfwmax1	carotid_ultrasound_test	number	
rcfwmin1	pht001116.v10	Right common carotid far wall min (mm)	rcfwmin1	carotid_ultrasound_test	number	
rcfwmn1	pht001116.v10	Right common carotid far wall mean (mm)	rcfwmn1	carotid_ultrasound_test	number	
rcnwmax1	pht001116.v10	Right common carotid near wall max (mm)	rcnwmax1	carotid_ultrasound_test	number	
rcnwmin1	pht001116.v10	Right common carotid near wall min (mm)	rcnwmin1	carotid_ultrasound_test	number	
rcnwmn1	pht001116.v10	Right common carotid near wall mean (mm)	rcnwmn1	carotid_ultrasound_test	number	
rcnwsd1	pht001116.v10	Right common carotid near wall std dev (mm)	rcnwsd1	carotid_ultrasound_test	number	
